,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
118,118,118,118,59344.0,11336.4,75.936,0.14
119,119,119,119,59847.0,14278.9,75.661,0.552
120,120,120,120,60351.0,18228.4,70.971,0.727
121,121,121,121,60852.0,13916.7,70.4235,0.903
122,122,122,122,61355.0,12600.6,68.0135,0.805
123,123,123,123,61858.0,14083.6,65.055,0.553
124,124,124,124,62361.0,13508.3,66.224,0.417
125,125,125,125,62864.0,12149.6,66.7585,1.109
126,126,126,126,63367.0,20240.1,65.452,0.863
127,127,127,127,63869.0,16156.1,65.896,0.416
128,128,128,128,64372.0,15050.3,65.241,0.786
129,129,129,129,64875.0,13872.7,67.15,1.196
130,130,130,130,65378.0,16371.7,63.672,1.064
131,131,131,131,65882.0,16360.8,63.0315,0.638
132,132,132,132,66385.0,17863.7,61.981,0.111
133,133,133,133,66889.0,20307.3,68.198,1.266
134,134,134,134,67391.0,11951.3,70.9595,0.831
135,135,135,135,67895.0,16796.0,74.5275,0.9
136,136,136,136,68397.0,13326.7,75.517,0.503
137,137,137,137,68901.0,13094.0,75.1975,0.95
138,138,138,138,69404.0,10260.3,74.725,0.595
139,139,139,139,69907.0,16865.8,75.5685,0.182
140,140,140,140,70410.0,12237.3,73.6,0.215
141,141,141,141,70914.0,14972.9,70.205,0.893
142,142,142,142,71418.0,6844.8,68.726,0.983
143,143,143,143,71921.0,21016.5,64.9895,1.515
144,144,144,144,72424.0,14407.0,65.2845,0.41
145,145,145,145,72927.0,12082.7,64.7795,0.214
146,146,146,146,73430.0,12678.5,66.9435,0.157
147,147,147,147,73934.0,12798.5,69.336,0.177
148,148,148,148,74437.0,18244.1,67.8135,0.142
149,149,149,149,74940.0,16627.8,69.289,0.259
150,150,150,150,75442.0,12948.5,66.0745,0.376
151,151,151,151,75945.0,20312.4,67.424,0.515
152,152,152,152,76448.0,14868.5,66.7485,0.468
153,153,153,153,76952.0,9052.3,65.6395,0.461
154,154,154,154,77454.0,17546.4,62.126,0.813
155,155,155,155,77958.0,14466.2,62.8025,0.243
156,156,156,156,78461.0,18181.3,59.9845,0.595
157,157,157,157,78964.0,12961.8,57.453,0.191
158,158,158,158,79467.0,10920.8,57.6135,0.794
159,159,159,159,79968.0,18213.0,57.0065,0.199
160,160,160,160,80471.0,19485.2,58.9885,0.83
161,161,161,161,80975.0,15292.4,60.5255,0.181
162,162,162,162,81478.0,14451.9,60.7955,0.666
163,163,163,163,81982.0,19691.2,58.1005,1.321
164,164,164,164,82484.0,16666.2,62.563,0.245
165,165,165,165,82986.0,14505.9,61.054,0.044
166,166,166,166,83489.0,12788.5,62.0845,1.623
167,167,167,167,83992.0,17843.7,64.1095,0.117
168,168,168,168,84494.0,12382.1,63.389,0.228
169,169,169,169,84997.0,23646.9,64.445,0.826
170,170,170,170,85499.0,12683.4,61.0045,0.112
