timestamp,target_bitrate,RTT,s_pck,fps,L,func_time
1772702682293876,836793,0.12,949.273,25,32,0
1772702683293878,836793,0.1205,991.106,24,32,0
1772702684293936,1.02456e+06,0.142333,989.608,23,32,0
1772702685293949,1.11845e+06,0.1635,1001.95,24,32,0
1772702686293967,1.18617e+06,0.1762,991.823,24,26,0
1772702689077440,1.23302e+06,0.202167,983.075,23,31,0
