t_ms,cpu_time_ms,vmrss_kb,vmhwm_kb,pss_kb,rapl_energy_uj
0,73.9164,92364,92364,72837,-1
1003,1077.76,99412,99412,77935,-1
2007,2155.68,139928,144664,88864,-1
3012,3665.54,206004,236132,146778,-1
4020,6091.73,214704,236132,154472,-1
5026,8776.58,215556,236132,155244,-1
6033,11820.2,218548,236132,157652,-1
7039,14422.9,219340,236132,158524,-1
8045,16989.9,219868,236132,159004,-1
9055,19569.1,220396,236132,159448,-1
10065,22141.7,220660,236132,159788,-1
11071,24760.6,221188,236132,160216,-1
12077,27656.9,221452,236132,160544,-1
13084,29907.4,221452,236132,160550,-1
14090,32474,221452,236132,160550,-1
15099,35364.4,221716,236132,160878,-1
16112,38002.1,221980,236132,160986,-1
17121,40190.9,222244,236132,161366,-1
18128,42884.3,222772,236132,161846,-1
19134,45684.3,223036,236132,162078,-1
20143,48062.2,223300,236132,162402,-1
21157,50427.7,223564,236132,162706,-1
22165,53365.2,224092,236132,163078,-1
23172,56367.5,224356,236132,163742,-1
24179,59331.3,224884,236132,164066,-1
25185,62321.5,225148,236132,164354,-1
26192,64490.7,225148,236132,164518,-1
27205,66232.7,225412,236132,164622,-1
28212,68040.3,225412,236132,164806,-1
29218,70199.3,225676,236132,165030,-1
30225,72312.9,225676,236132,165030,-1
31232,74809.8,225940,236132,165318,-1
32238,77451.5,226204,236132,165566,-1
33249,79320,226204,236132,165566,-1
34259,81489.1,226732,236132,165978,-1
35267,83631.8,212064,236132,150934,-1
36276,85433,212064,236132,150934,-1
37283,87641.2,212328,236132,151266,-1
38292,90198.7,212856,236132,151682,-1
39300,92670.7,212856,236132,151710,-1
40309,95166.6,214444,236132,153318,-1
41315,96996.4,214708,236132,153614,-1
42322,98661,214708,236132,153614,-1
43330,101028,214972,236132,153942,-1
44338,103387,215236,236132,154266,-1
45352,105796,215500,236132,154538,-1
46360,108314,215500,236132,154630,-1
47367,110952,215764,236132,154822,-1
48374,113596,216028,236132,155090,-1
49381,116208,216820,236132,155738,-1
50390,118595,216820,236132,155990,-1
51399,120964,217612,236132,156742,-1
52406,123299,217876,236132,156962,-1
53413,125646,218404,236132,157482,-1
54419,127992,218932,236132,157954,-1
55426,130338,219196,236132,158290,-1
56436,132705,219460,236132,158630,-1
57451,135137,219724,236132,158942,-1
58461,137488,219988,236132,159146,-1
59467,139811,220252,236132,159482,-1
60474,142102,220516,236132,159598,-1
61484,144414,221572,236132,160822,-1
62490,146696,221572,236132,160854,-1
63497,148981,221572,236132,160874,-1
64503,151277,222628,236132,161742,-1
65510,153660,222628,236132,161742,-1
66516,155897,229852,236132,168126,-1
67523,157313,229852,236132,168126,-1
68532,158666,229852,236132,168126,-1
69540,160315,229852,236132,168126,-1
70549,162463,229852,236132,168126,-1
71555,164415,229852,236132,168126,-1
72562,166276,229852,236132,168126,-1
73569,167912,229852,236132,168126,-1
74579,169521,229852,236132,168126,-1
75587,170985,229852,236132,168126,-1
76594,172513,229852,236132,168126,-1
77601,174045,230116,236132,168346,-1
78608,175442,230116,236132,168350,-1
79615,176842,230116,236132,168402,-1
80622,178219,230116,236132,168446,-1
81634,179654,230116,236132,168446,-1
82642,181223,230380,236132,168738,-1
83649,183082,230380,236132,168738,-1
84657,185249,230380,236132,168738,-1
85664,187561,230908,236132,169262,-1
86671,189484,231172,236132,169502,-1
87679,191864,231700,236132,169926,-1
88688,194184,231700,236132,170054,-1
89696,195965,231700,236132,170054,-1
90703,197928,231964,236132,170266,-1
91711,200123,232492,236132,170782,-1
92718,202087,232756,236132,171026,-1
93726,204295,232756,236132,171066,-1
94733,206733,233284,236132,171610,-1
95740,209005,233548,236132,171850,-1
96748,211382,233812,236132,172246,-1
97756,213283,234076,236132,172298,-1
98763,215588,234340,236132,172594,-1
99770,217977,234604,236132,173062,-1
100778,220501,234868,236132,173318,-1
101785,223020,235396,236132,173762,-1
102793,224692,235396,236132,173818,-1
103800,226393,235660,236132,173862,-1
104808,228258,235660,236132,173946,-1
105817,230637,235660,236132,173946,-1
106826,232969,236716,236716,175086,-1
1
