timestamp,EMAburst_3,EMAburst_3_10,EMALR_3_5_10,StdDevRTT_5,RTT_EMARTT_30,VarJitter_5,I_inv_EMALR_10,EMAM_5,LRR,EMALRR_5,last_M,EMAburst_3,delta_M,Reward,cur_baseline_Mreward,M,func_time
1772702683293878,0,0,0,0.0005,1.00415,0,3.91468e+08,1,0,0,1,0,0,0,0,1,-6148914691236517206
1772702684293936,0,0,0,0.0308797,1.30679,0.0024665,0.478516,1,1,0.5,1,0,0,0,0,1,-6148914691236517206
1772702685293949,0,0,0,0.045379,1.38838,0.00232544,0.638021,1,1,0.666667,1,0,0,0,0,1,-6148914691236517206
1772702686293967,0,0,-0.0113932,0.0478807,1.28831,0.0055503,1.07666,1,1,0.75,1,0,0,0.48105,0.48105,1,607
1772702689077440,0,0,-0.00520833,0.0686865,1.64221,0.00685066,1.07422,1,1,0.8,1,0,0,0.481,-4.9955e-05,1,625
1772702689077440,0,0,0.014974,0.0600313,1.50421,0.00606437,1.03841,1,1,1,1,0,0,-0.01875,-0.499791,1,630
1772702690078138,0,0,0.00524554,0.0792177,0.576577,0.00511651,1.05469,1,1,1,1,0,0,-0.01875,-0.40483,1,573
1772702691078128,0,0,-0.000878906,0.0948101,0.605042,0.0011759,1.0498,1,1,1,1,0,0,-0.01875,-0.327913,1,549
1772702692078162,0,0,0.00251736,0.103858,0.629921,0.000170875,0.886502,1,1,1,1,0,0,-0.01875,-0.265609,1,575
1772702693078182,0,0,-0.00143229,0.0848,0.651852,0.00014977,0.90918,1,1,1,1,0,0,-0.01875,-0.215143,1,574
1772702694078196,0,0,-0.009375,0,0.671329,0.000130178,0.667969,1,1,1,1,0,0,-0.01875,-0.174266,1,593
1772702695078214,0.333333,3.33,0.00416667,0,0.688742,0.000128253,1.47266,1,0,0.8,1,0.333333,0,-2.01775,-2.14016,1,578
1772702696078281,0.333333,3.33,0.00885417,0,0.704403,0.00607359,1.8457,1,0,0.6,1,0.333333,0,-0.768563,-0.484339,1,632
1772702697078314,0.333333,3.33,0.00286458,0,0.718563,0.00590068,0.929688,1,0,0.4,1,0.333333,0,-0.352028,0.0242206,1,658
