timestamp,FEC_seq_num,status,recover_seq_num,protect_seq_nums,decode_time,search_time,fec_store_time
1772702683432520,11831,fail_NoLoss,,11798_11799_11801_11802_11803_11804_11805_11807_11808_11809_11810_11811_11812_11813_11814_11815_11816_11817_11819_11820_11821_11822_11823_11825_11826_11827_11828_11829,,,32000
1772702683515899,11842,success,11837,11807_11808_11809_11810_11811_11812_11813_11814_11815_11816_11817_11819_11820_11821_11822_11823_11825_11826_11827_11828_11829_11830_11832_11833_11834_11835_11836_11837,211000,4000,256000
1772702683557476,11849,fail_NoLoss,,11814_11815_11816_11817_11819_11820_11821_11822_11823_11825_11826_11827_11828_11829_11830_11832_11833_11834_11835_11836_11837_11838_11839_11840_11841_11843_11844_11845,,,32000
1772702683609951,11855,fail_NoLoss,,11822_11823_11825_11826_11827_11828_11829_11830_11832_11833_11834_11835_11836_11837_11838_11839_11840_11841_11843_11844_11845_11846_11847_11848_11850_11851_11852_11853,,,36000
1772702683678903,11862,success,11861,11830_11832_11833_11834_11835_11836_11837_11838_11839_11840_11841_11843_11844_11845_11846_11847_11848_11850_11851_11852_11853_11854_11856_11857_11858_11859_11860_11861,209000,5000,255000
1772702683795041,11875,fail_NoLoss,,11838_11839_11840_11841_11843_11844_11845_11846_11847_11848_11850_11851_11852_11853_11854_11856_11857_11858_11859_11860_11861_11863_11864_11865_11866_11867_11868_11869,,,35000
1772702683859442,11882,fail_NoLoss,,11846_11847_11848_11850_11851_11852_11853_11854_11856_11857_11858_11859_11860_11861_11863_11864_11865_11866_11867_11868_11869_11870_11871_11872_11873_11874_11876_11877,,,33000
1772702683925305,11889,fail_NoLoss,,11854_11856_11857_11858_11859_11860_11861_11863_11864_11865_11866_11867_11868_11869_11870_11871_11872_11873_11874_11876_11877_11878_11879_11880_11881_11883_11884_11885,,,33000
1772702683988117,11896,success,11888,11863_11864_11865_11866_11867_11868_11869_11870_11871_11872_11873_11874_11876_11877_11878_11879_11880_11881_11883_11884_11885_11886_11887_11888_11890_11891_11892_11893,198000,4000,244000
1772702684051114,11904,success,11901,11870_11871_11872_11873_11874_11876_11877_11878_11879_11880_11881_11883_11884_11885_11886_11887_11888_11890_11891_11892_11893_11894_11895_11897_11898_11899_11900_11901,209000,4000,263000
1772702684100456,11910,success,11905,11878_11879_11880_11881_11883_11884_11885_11886_11887_11888_11890_11891_11892_11893_11894_11895_11897_11898_11899_11900_11901_11902_11903_11905_11906_11907_11908_11909,213000,4000,263000
1772702684171125,11918,fail_NoLoss,,11886_11887_11888_11890_11891_11892_11893_11894_11895_11897_11898_11899_11900_11901_11902_11903_11905_11906_11907_11908_11909_11911_11912_11913_11914_11915_11916_11917,,,37000
1772702684717631,11958_11977,success,11934_11941,11926_11927_11928_11929_11930_11932_11933_11934_11935_11936_11937_11939_11940_11941_11942_11943_11945_11946_11947_11948_11949_11950_11951_11952_11954_11955_11956_11957|11934_11935_11936_11937_11939_11940_11941_11942_11943_11945_11946_11947_11948_11949_11950_11951_11952_11954_11955_11956_11957_11959_11960_11961_11962_11963_11964_11965,458000,7000,201692000_584000
1772702684718621,11938_11944_11953,success,11920_11924_11925,11902_11903_11905_11906_11907_11908_11909_11911_11912_11913_11914_11915_11916_11917_11919_11920_11921_11922_11923_11924_11925_11926_11927_11928_11929_11930_11932_11933|11911_11912_11913_11914_11915_11916_11917_11919_11920_11921_11922_11923_11924_11925_11926_11927_11928_11929_11930_11932_11933_11934_11935_11936_11937_11939_11940_11941|11919_11920_11921_11922_11923_11924_11925_11926_11927_11928_11929_11930_11932_11933_11934_11935_11936_11937_11939_11940_11941_11942_11943_11945_11946_11947_11948_11949,785000,11000,394386000_342283000_268014000
1772702684744391,11980,success,11970,11941_11942_11943_11945_11946_11947_11948_11949_11950_11951_11952_11954_11955_11956_11957_11959_11960_11961_11962_11963_11964_11965_11966_11967_11968_11969_11970_11971_11972,192000,5000,245000
1772702684776838,11985,fail_NoLoss,,11950_11951_11952_11954_11955_11956_11957_11959_11960_11961_11962_11963_11964_11965_11966_11967_11968_11969_11970_11971_11972_11973_11974_11975_11976_11978_11979_11981,,,50000
1772702684828748,11991,success,11983,11959_11960_11961_11962_11963_11964_11965_11966_11967_11968_11969_11970_11971_11972_11973_11974_11975_11976_11978_11979_11981_11982_11983_11984_11986_11987_11988_11989,213000,5000,265000
1772702684880666,11998,success,11994,11966_11967_11968_11969_11970_11971_11972_11973_11974_11975_11976_11978_11979_11981_11982_11983_11984_11986_11987_11988_11989_11990_11992_11993_11994_11995_11996_11997,229000,4000,280000
1772702684959549,12007,fail_NoLoss,,11974_11975_11976_11978_11979_11981_11982_11983_11984_11986_11987_11988_11989_11990_11992_11993_11994_11995_11996_11997_11999_12000_12001_12002_12003_12004_12005,,,37000
1772702685026988,12014,fail_NoLoss,,11982_11983_11984_11986_11987_11988_11989_11990_11992_11993_11994_11995_11996_11997_11999_12000_12001_12002_12003_12004_12005_12006_12008_12009_12010_12011_12012_12013,,,49000
1772702685119533,12024,fail_NoLoss,,11990_11992_11993_11994_11995_11996_11997_11999_12000_12001_12002_12003_12004_12005_12006_12008_12009_12010_12011_12012_12013_12015_12016_12017_12018_12019_12020_12021,,,41000
1772702685210839,12036,success,12029,11999_12000_12001_12002_12003_12004_12005_12006_12008_12009_12010_12011_12012_12013_12015_12016_12017_12018_12019_12020_12021_12022_12023_12025_12026_12027_12028_12029,227000,5000,290000
1772702685248973,12040,success,12031,12006_12008_12009_12010_12011_12012_12013_12015_12016_12017_12018_12019_12020_12021_12022_12023_12025_12026_12027_12028_12029_12030_12031_12032_12033_12034_12035_12037,339000,5000,396000
1772702685330269,12048,success,12045,12015_12016_12017_12018_12019_12020_12021_12022_12023_12025_12026_12027_12028_12029_12030_12031_12032_12033_12034_12035_12037_12038_12039_12041_12042_12043_12044_12045,206000,4000,258000
1772702685408936,12055,fail_NoLoss,,12022_12023_12025_12026_12027_12028_12029_12030_12031_12032_12033_12034_12035_12037_12038_12039_12041_12042_12043_12044_12045_12046_12047_12049_12050_12051_12052_12053,,,52000
1772702685479644,12063,success,12054,12030_12031_12032_12033_12034_12035_12037_12038_12039_12041_12042_12043_12044_12045_12046_12047_12049_12050_12051_12052_12053_12054_12056_12057_12058_12059_12060_12061,204000,5000,255000
1772702685533137,12071,fail_NoLoss,,12037_12038_12039_12041_12042_12043_12044_12045_12046_12047_12049_12050_12051_12052_12053_12054_12056_12057_12058_12059_12060_12061_12062_12064_12065_12066_12067_12068,,,34000
1772702685605044,12078,fail_NoLoss,,12044_12045_12046_12047_12049_12050_12051_12052_12053_12054_12056_12057_12058_12059_12060_12061_12062_12064_12065_12066_12067_12068_12069_12070_12072_12073_12074_12075,,,34000
1772702685682636,12085,success,12079,12051_12052_12053_12054_12056_12057_12058_12059_12060_12061_12062_12064_12065_12066_12067_12068_12069_12070_12072_12073_12074_12075_12076_12077_12079_12080_12081_12082,212000,4000,260000
1772702685766217,12092,fail_NoLoss,,12058_12059_12060_12061_12062_12064_12065_12066_12067_12068_12069_12070_12072_12073_12074_12075_12076_12077_12079_12080_12081_12082_12083_12084_12086_12087_12088_12089,,,39000
1772702685849740,12099,fail_NoLoss,,12065_12066_12067_12068_12069_12070_12072_12073_12074_12075_12076_12077_12079_12080_12081_12082_12083_12084_12086_12087_12088_12089_12090_12091_12093_12094_12095_12096,,,33000
1772702685933031,12106,fail_NoLoss,,12072_12073_12074_12075_12076_12077_12079_12080_12081_12082_12083_12084_12086_12087_12088_12089_12090_12091_12093_12094_12095_12096_12097_12098_12100_12101_12102_12103,,,37000
1772702686016532,12113,success,12108,12079_12080_12081_12082_12083_12084_12086_12087_12088_12089_12090_12091_12093_12094_12095_12096_12097_12098_12100_12101_12102_12103_12104_12105_12107_12108_12109_12110,207000,5000,255000
1772702686183964,12120_12127,success,12116_12117,12086_12087_12088_12089_12090_12091_12093_12094_12095_12096_12097_12098_12100_12101_12102_12103_12104_12105_12107_12108_12109_12110_12111_12112_12114_12115_12116_12117|12093_12094_12095_12096_12097_12098_12100_12101_12102_12103_12104_12105_12107_12108_12109_12110_12111_12112_12114_12115_12116_12117_12118_12119_12121_12122_12123_12124,515000,7000,84233000_624000
1772702686277131,12134,fail_NoLoss,,12100_12101_12102_12103_12104_12105_12107_12108_12109_12110_12111_12112_12114_12115_12116_12117_12118_12119_12121_12122_12123_12124_12125_12126_12128_12129_12130_12131,,,48000
1772702686349981,12141,fail_NoLoss,,12107_12108_12109_12110_12111_12112_12114_12115_12116_12117_12118_12119_12121_12122_12123_12124_12125_12126_12128_12129_12130_12131_12132_12133_12135_12136_12137_12138,,,48000
1772702686434185,12148,success,12145,12114_12115_12116_12117_12118_12119_12121_12122_12123_12124_12125_12126_12128_12129_12130_12131_12132_12133_12135_12136_12137_12138_12139_12140_12142_12143_12144_12145,195000,4000,241000
1772702686517298,12155,success,12150,12129_12130_12131_12132_12133_12135_12136_12137_12138_12139_12140_12142_12143_12144_12145_12146_12147_12149_12150_12151_12152,159000,5000,209000
1772702686603455,12170,fail_NoLoss,,12136_12137_12138_12139_12140_12142_12143_12144_12145_12146_12147_12149_12150_12151_12152_12153_12154_12156_12157_12158_12159,,,32000
1772702686646450,12171,success,12165,12143_12144_12145_12146_12147_12149_12150_12151_12152_12153_12154_12156_12157_12158_12159_12160_12161_12162_12163_12164_12165,174000,6000,231000
1772702686647430,12176,fail_NoLoss,,12150_12151_12152_12153_12154_12156_12157_12158_12159_12160_12161_12162_12163_12164_12165_12166_12167_12168_12169_12172_12173,,,37000
1772702686684636,12182,fail_NoLoss,,12157_12158_12159_12160_12161_12162_12163_12164_12165_12166_12167_12168_12169_12172_12173_12174_12175_12177_12178_12179_12180,,,44000
1772702686731752,12188,fail_NoLoss,,12163_12164_12165_12166_12167_12168_12169_12172_12173_12174_12175_12177_12178_12179_12180_12181_12183_12184_12185_12186_12187,,,32000
1772702686810396,12201,fail_NoLoss,,12169_12172_12173_12174_12175_12177_12178_12179_12180_12181_12183_12184_12185_12186_12187_12189_12190_12191_12192_12193_12194,,,34000
1772702686810531,12202,fail_NoLoss,,12178_12179_12180_12181_12183_12184_12185_12186_12187_12189_12190_12191_12192_12193_12194_12195_12196_12197_12198_12199_12200,,,25000
1772702686894055,12214,success,12203,12185_12186_12187_12189_12190_12191_12192_12193_12194_12195_12196_12197_12198_12199_12200_12203_12204_12205_12206_12207_12208,172000,4000,224000
1772702686939233,12221,fail_NoLoss,,12192_12193_12194_12195_12196_12197_12198_12199_12200_12203_12204_12205_12206_12207_12208_12209_12210_12211_12212_12213_12215,,,33000
1772702686993368,12228,success,12222,12198_12199_12200_12203_12204_12205_12206_12207_12208_12209_12210_12211_12212_12213_12215_12216_12217_12218_12219_12220_12222,176000,5000,226000
1772702687059929,12236,success,12224,12206_12207_12208_12209_12210_12211_12212_12213_12215_12216_12217_12218_12219_12220_12222_12223_12224_12225_12226_12227_12229,187000,4000,240000
