timestamp,frame_num,decode_duration
1773377962872866,0,32
1773377962873798,1,36
1773377962874723,2,31
1773377962875688,3,32
1773377962876702,4,32
1773377962877762,5,31
1773377962878868,6,31
1773377963506659,11,125
1773377964356500,16,211
1773377964364788,17,94
1773377964500604,19,405
1773377964587615,21,485
1773377965068994,23,1186
1773377965259074,25,484
1773377965368158,26,463
1773377965414434,27,487
1773377965956965,29,452
1773377966049609,30,527
1773377966141424,31,542
1773377966257053,32,609
1773377966301078,33,583
1773377967237760,41,766
1773377967416822,42,736
1773377967601862,43,721
1773377967825013,45,730
1773377968461363,47,1128
1773377968475440,48,123
1773377968739671,53,504
1773377968872680,55,722
1773377968947694,56,410
1773377969223734,59,592
1773377969345507,60,610
1773377969470954,61,597
1773377970019763,64,1342
1773377970234023,66,732
1773377970413949,67,685
1773377970512504,68,737
1773377970786355,70,708
1773377971094711,72,807
1773377971211077,73,517
1773377971365126,74,687
1773377971510874,75,665
1773377971654027,76,647
1773377971807278,77,738
1773377972087812,79,641
1773377972382490,81,661
1773377972530962,82,661
1773377972811798,84,657
1773377973095603,86,674
1773377973233530,87,646
1773377973495995,89,595
1773377973816030,93,656
1773377974120895,96,934
1773377974307717,98,669
1773377974753937,101,763
1773377974931765,102,730
1773377975103954,103,730
1773377975595927,108,765
1773377975770725,109,724
1773377975825485,110,757
1773377975925607,112,767
1773377976076425,115,779
1773377976351745,118,742
1773377976405637,119,753
1773377976457051,120,755
1773377976648893,121,785
1773377976944330,124,825
1773377977232134,127,775
1773377977604441,129,805
1773377977795300,130,793
1773377978512639,133,857
1773377978678197,134,678
1773377978887008,135,859
1773377979069500,136,739
1773377980032833,143,1431
1773377980244124,144,1427
1773377980300781,146,313
1773377980621524,149,734
1773377980771243,150,737
1773377980899588,151,737
1773377981116955,153,796
1773377981257866,155,826
1773377981649553,156,1704
1773377982100802,159,700
1773377982246421,160,559
1773377982719489,164,709
1773377982802484,165,703
1773377982953018,166,666
1773377983092083,167,624
1773377983429733,169,941
1773377983721201,172,841
1773377983874047,173,624
1773377984064133,174,810
1773377984218268,175,645
1773377984441013,177,751
1773377984719611,179,797
1773377984898229,180,727
1773377985158275,182,766
1773377985438602,183,1166
1773377986053598,190,217
1773377986077086,191,198
1773377986092580,192,122
1773377986176479,195,566
1773377986262298,197,598
1773377986290529,198,479
1773377986417991,201,408
1773377986699119,209,357
1773377986867602,215,337
1773377986914832,216,343
1773377987125485,222,426
1773377987175776,224,313
1773377987290105,227,386
1773377987463147,231,404
1773377987575208,233,510
1773377987785902,235,1228
1773377988020276,236,1256
1773377988060586,238,31
1773377988180946,240,351
1773377988220194,242,221
1773377988245521,243,211
1773377988263940,244,158
1773377988354272,249,291
1773377988701010,260,216
1773377988735279,261,227
1773377988862667,264,276
1773377989393544,277,283
1773377989659901,279,442
1773377989778633,281,343
1773377991900875,293,31
1773377991941287,294,30
1773377992045692,298,218
1773377992059005,299,155
1773377992149193,306,192
1773377992620599,308,29
1773377992626027,309,29
1773377992630889,310,31
1773377992769141,323,261
1773377992938748,326,25
1773377993083950,329,29
1773377993104914,331,29
1773377993113514,333,100
1773377993137785,338,57
1773377993196920,343,28
1773377993273378,347,63
1773377993336722,352,60
1773377993374738,358,30
1773377993376903,359,96
1773377993386843,360,93
1773377993445652,363,93
1773377993455915,367,94
1773377993478404,370,155
1773377993707295,378,86
1773377993723488,379,122
1773377993811163,384,92
1773377993923168,386,32
1773377994018622,388,89
1773377994681965,390,93
1773377994688897,391,62
1773377994765392,404,61
1773377994784158,408,59
1773377994786102,409,64
1773377994788010,410,60
1773377994841822,418,277
1773377994883193,424,73
1773377994892879,425,61
1773377994953185,430,60
1773377994986955,432,53
1773377995028794,434,148
1773377995107602,435,570
1773377995130092,438,93
1773377995156328,439,62
1773377996090763,450,1169
1773377996252836,458,122
1773377996266181,459,187
1773377996289724,460,212
1773377996354004,466,123
1773377996376302,467,211
1773377996402453,472,32
1773377996418833,475,63
1773377996432223,477,91
1773377996458408,481,152
1773377996479428,483,179
1773377996506146,485,28
1773377996509983,486,31
1773377996514345,487,59
1773377996625283,491,224
1773377996695854,494,122
1773377996751245,496,123
1773377996920714,500,242
1773377996963506,501,90
1773377997392474,506,153
1773377997462435,507,58
1773377997845394,512,126
1773377998150892,519,218
1773377998234306,521,213
1773377998276728,522,214
1773377998648012,526,152
1773377998653281,527,60
1773377998894776,533,156
1773377999454355,547,117
1773377999463180,548,129
1773377999762454,555,313
1773377999949135,560,226
1773378000095674,565,182
1773378000350647,567,154
1773378000355297,568,93
1773378000408565,570,247
1773378000444708,572,371
1773378000447885,573,117
1773378000499543,574,218
1773378000603359,576,246
1773378000719818,579,310
1773378001171433,583,91
1773378001237002,585,348
1773378001308693,589,185
1773378001327339,590,169
1773378001367937,592,184
1773378001440244,596,179
1773378001483790,597,406
1773378001706198,600,379
1773378001743084,602,165
1773378001817005,605,167
1773378001977141,609,351
1773378002000649,611,92
1773378002204451,615,282
1773378002631714,624,341
1773378002936143,627,31
1773378003166410,629,794
1773378003367493,636,93
1773378003510575,639,281
1773378003520622,640,155
1773378003603852,644,212
1773378003877008,652,124
1773378003949333,654,413
1773378004194448,660,258
1773378004256536,662,187
1773378005027152,673,31
1773378005152167,677,1297
1773378005265418,678,1262
1773378005271622,679,29
1773378005278252,680,55
1773378005601657,684,556
1773378005725551,688,61
1773378005827425,694,31
1773378005849501,696,91
1773378006145619,700,29
1773378006793417,711,58
1773378006868639,715,183
1773378007133789,722,116
1773378007450143,729,164
1773378007625383,733,414
1773378007952558,739,452
1773378008281101,746,96
1773378008302681,747,156
1773378008526084,753,127
1773378008757638,761,119
1773378008778158,762,132
1773378008937551,765,538
1773378009012628,766,1133
1773378009232483,768,31
1773378009238631,769,31
1773378009247679,770,57
1773378009458139,776,338
