timestamp,totalRoundTripTime,currentRoundTripTime,availableOutgoingBitrate,packetsSent,packetsReceived,bytesSent,bytesReceived
1772519962579342,0.24,0.12,0,1,1,645,153
1772519962579342,0.24,0.12,0,1,1,645,153
1772519962679810,0.36,0.12,300000,2,2,720,698
1772519962779830,0.36,0.12,300000,2,2,720,698
1772519962779830,0.36,0.12,300000,2,2,720,698
1772519962980054,0.36,0.12,300000,15,4,7194,1832
1772519963080036,0.36,0.12,1.90057e+06,49,16,28865,7750
1772519963180065,0.36,0.12,1.90057e+06,65,38,40044,21588
