,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,3.0,256.0,60.0,0.0
1,500.0,256.0,60.0,0.0
2,1000.0,256.0,60.0,10.0
3,1500.0,256.0,60.0,0.0
4,2000.0,256.0,60.0,0.0
