timestamp,EFR,LRR
1773458901087243,112,0
1773458907356103,71,0
1773458908941010,39,0
1773458911583221,51,0
1773458913927781,102,0
1773458917024748,76,0
1773458919753783,25,0
1773458922460943,97,0
1773458924879904,159,0
1773458927135553,0,0
1773458931204211,121,255
1773458934735385,0,255
1773458937060652,104,255
1773458940702749,134,255
1773458945439370,0,255
1773458951995025,68,255
1773458954650923,0,255
1773458960709618,46,255
1773458963321781,46,255
1773458963761140,28,255
1773458965386515,214,255
1773458975267072,191,255
1773458976242508,235,255
1773458976512314,170,255
1773458979170855,63,255
1773458981524838,92,255
1773458984385126,15,255
1773458986655272,51,255
1773458988688950,135,255
1773458991295357,38,255
1773458993412500,78,255
1773458995714277,74,255
1773458998280213,26,255
1773459000523928,70,255
1773459002497708,76,255
