timestamp,target_bitrate,RTT,s_pck,fps,L,func_time
1772702682399437,1.36811e+06,0.12,989.292,25,32,0
1772702683399478,1.53406e+06,0.12,1012.62,24,32,1
1772702684399487,1.27099e+06,0.123333,1030.36,24,32,1
1772702685399503,1.1083e+06,0.1535,1021.51,24,32,1
1772702686399528,1.00757e+06,0.1716,1023.53,24,21,1
1772702689109772,938829,0.1885,1027.54,21,21,0
