timestamp,totalRoundTripTime,currentRoundTripTime,availableOutgoingBitrate,packetsSent,packetsReceived,bytesSent,bytesReceived
1771908543201289,0.001,0,772200,3281,1115,1879541,652204
1771908543301312,0.001,0,772200,3285,1115,1882902,652204
1771908543401335,0.001,0,772200,3299,1115,1887169,652204
1771908543501371,0.001,0,772200,3308,1115,1891118,652204
1771908543601395,0.001,0,772200,3310,1115,1892509,652204
1771908543701425,0.001,0,772200,3311,1115,1893858,652204
1771908543801453,0.001,0,772200,3319,1115,1896159,652204
1771908543901469,0.001,0,617760,3321,1115,1898361,652204
1771908544001491,0.002,0.001,617760,3327,1115,1904364,652204
1771908544101528,0.002,0.001,617760,3331,1115,1908752,652204
1771908544201571,0.002,0.001,617760,3343,1115,1912098,652204
1771908544301604,0.002,0.001,617760,3348,1115,1915771,652204
1771908544401600,0.002,0.001,617760,3356,1115,1918088,652204
1771908544501621,0.002,0.001,617760,3358,1115,1920018,652204
1771908544601648,0.002,0.001,617760,3360,1115,1921153,652204
1771908544701670,0.002,0.001,617760,3361,1115,1922502,652204
1771908544801691,0.002,0.001,617760,3365,1115,1924284,652204
1771908544901716,0.002,0.001,494208,3367,1115,1925974,652204
1771908545001741,0.002,0.001,494208,3372,1146,1930884,673848
1771908545001741,0.002,0.001,494208,3372,1146,1930884,673848
1771908545230606,0.002,0.001,494208,3384,1146,1939363,673848
1771908545330619,0.002,0.001,494208,3386,1146,1941565,673848
1771908545430646,0.002,0.001,494208,3393,1211,1944598,702461
1771908545430646,0.002,0.001,494208,3393,1211,1944598,702461
1771908545646542,0.002,0.001,494208,3398,1211,1946964,702461
1771908545746569,0.002,0.001,494208,3401,1213,1948708,704647
1771908545846578,0.002,0.001,494208,3405,1213,1949451,704647
1771908545946590,0.002,0.001,395366,3406,1213,1950544,704647
1771908546046629,0.002,0.001,395366,3408,1213,1951663,704647
1771908546146666,0.002,0.001,395366,3410,1213,1953353,704647
1771908546246677,0.002,0.001,395366,3414,1219,1955607,711221
1771908546346695,0.002,0.001,395366,3423,1219,1959572,711221
1771908546446722,0.002,0,395366,3431,1219,1961873,711221
1771908546546736,0.002,0,395366,3432,1219,1963222,711221
1771908546646743,0.002,0,395366,3436,1219,1964253,711221
1771908546746772,0.002,0,395366,3438,1219,1965927,711221
1771908546846773,0.002,0,395366,3441,1223,1967360,713802
1771908546946797,0.002,0,316293,3443,1223,1969034,713802
1771908547046838,0.002,0,316293,3451,1223,1971335,713802
1771908547146837,0.002,0,316293,3453,1223,1973537,713802
1771908547246875,0.002,0,316293,3462,1223,1976931,713802
1771908547346887,0.002,0,316293,3463,1223,1977528,713802
1771908547446902,0.002,0,316293,3467,1230,1979786,716077
1771908547546922,0.002,0,316293,3471,1243,1984158,723391
1771908547646939,0.002,0,316293,3478,1243,1987924,723391
1771908547746966,0.002,0,316293,3480,1243,1988590,723391
1771908547846980,0.002,0,316293,3482,1243,1988941,723391
1771908547946985,0.002,0,253034,3484,1243,1989364,723391
1771908548047015,0.002,0,253034,3486,1243,1989971,723391
1771908548147044,0.002,0,253034,3487,1243,1990552,723391
1771908548247079,0.002,0,253034,3490,1243,1991756,723391
1771908548347105,0.002,0,253034,3491,1243,1992337,723391
1771908548447105,0.002,0,253034,3493,1243,1992960,723391
1771908548547122,0.002,0,253034,3494,1243,1993541,723391
1771908548647148,0.002,0,253034,3497,1243,1994230,723391
