timestamp,packetsSent,bytesSent,retransmittedPacketsSent,retransmittedBytesSent,targetBitrate,framesEncoded,keyFramesEncoded,totalEncodeTime,totalEncodedBytesTarget,frameWidth,frameHeight,framesPerSecond,framesSent,totalPacketSendDelay,nackCount,qualityLimitationReason,qualityLimitationResolutionChanges,firCount,pliCount
1771908529253004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0
1771908529253004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"none",0,0,0
1771908529353614,0,0,0,0,282640,0,0,0,0,0,0,0,0,0,0,"bandwidth",0,0,0
1771908529453624,0,0,0,0,282640,1,1,0.01,0,480,270,4,1,0,0,"bandwidth",0,0,0
1771908529453624,0,0,0,0,282640,1,1,0.01,0,480,270,4,1,0,0,"bandwidth",0,0,0
1771908529774725,22,6332,0,0,1700000,5,1,0.038,0,480,270,14,5,0.504513,0,"bandwidth",0,0,2
1771908529874746,98,28925,0,0,1700000,6,2,0.045,0,480,270,11,6,1.64802,0,"bandwidth",0,0,2
1771908529974754,98,28925,0,0,1700000,6,2,0.045,0,480,270,11,6,1.64802,0,"bandwidth",0,0,2
1771908530074823,122,39749,0,0,1700000,15,3,0.123,0,480,270,17,15,1.64854,0,"bandwidth",0,0,3
1771908530074823,122,39749,0,0,1700000,15,3,0.123,0,480,270,17,15,1.64854,0,"bandwidth",0,0,3
1771908530409587,198,81065,0,0,1700000,24,3,0.199,0,480,270,20,24,1.65042,0,"bandwidth",0,0,4
1771908530409587,198,81065,0,0,1700000,24,3,0.199,0,480,270,20,24,1.65042,0,"bandwidth",0,0,4
1771908530823763,325,152582,0,0,1700000,41,4,0.349,0,480,270,23,41,3.47552,0,"bandwidth",0,0,5
1771908530823763,325,152582,0,0,1700000,41,4,0.349,0,480,270,23,41,3.47552,0,"bandwidth",0,0,5
1771908531522268,517,263494,0,0,1700000,56,5,0.473,0,480,270,24,56,21.1121,0,"bandwidth",0,0,7
1771908531522268,517,263494,0,0,1700000,56,5,0.473,0,480,270,24,56,21.1121,0,"bandwidth",0,0,7
1771908532127882,666,351909,0,0,1700000,84,5,0.687,0,480,270,23,84,127.848,0,"bandwidth",0,0,8
1771908532127882,666,351909,0,0,1700000,84,5,0.687,0,480,270,23,84,127.848,0,"bandwidth",0,0,8
1771908533327223,1025,554170,0,0,1700000,104,7,0.847,0,480,270,24,104,232.876,0,"bandwidth",0,0,9
1771908533327223,1025,554170,0,0,1700000,104,7,0.847,0,480,270,24,104,232.876,0,"bandwidth",0,0,9
1771908534159659,1061,594598,0,0,1700000,107,7,0.87,0,480,270,24,107,237.944,0,"bandwidth",0,0,9
1771908534259674,1188,649731,0,0,1700000,109,7,0.885,0,480,270,24,109,266.95,0,"bandwidth",0,0,9
1771908534359726,1222,689833,0,0,1700000,112,7,0.906,0,480,270,24,112,275.65,0,"bandwidth",0,0,9
1771908534459760,1697,910490,0,0,1700000,161,7,1.288,0,480,270,25,161,638.884,0,"bandwidth",0,0,10
1771908534459760,1697,910490,0,0,1700000,161,7,1.288,0,480,270,25,161,638.884,0,"bandwidth",0,0,10
1771908536507747,1747,957808,0,0,1700000,162,8,1.302,0,480,270,23,162,639.639,0,"bandwidth",0,0,10
1771908536607774,1784,988543,0,0,1700000,163,8,1.311,0,480,270,22,163,644.344,0,"bandwidth",0,0,10
1771908536707867,1869,1035038,0,0,1700000,164,8,1.32,0,480,270,20,164,662.39,0,"bandwidth",0,0,10
1771908536807870,1926,1065193,0,0,1700000,165,8,1.329,0,480,270,19,165,681.271,0,"bandwidth",0,0,10
1771908536907881,2081,1207322,0,0,1700000,170,8,1.371,0,480,270,15,170,744.543,0,"bandwidth",0,0,10
1771908536907881,2081,1207322,0,0,1700000,170,8,1.371,0,480,270,15,170,744.543,0,"bandwidth",0,0,10
1771908537283031,2186,1251189,0,0,1700000,171,8,1.38,0,480,270,13,171,828.706,0,"bandwidth",0,0,10
1771908537383044,2231,1282204,0,0,1700000,172,8,1.388,0,480,270,12,172,868.777,0,"bandwidth",0,0,10
1771908537483069,2302,1308241,0,0,1700000,173,8,1.397,0,480,270,12,173,937.429,0,"bandwidth",0,0,10
1771908537583083,2370,1344925,0,0,1700000,175,8,1.414,0,480,270,13,175,1011.54,0,"bandwidth",0,0,10
1771908537683104,2406,1369481,0,0,1700000,176,8,1.423,0,480,270,12,176,1052.44,0,"bandwidth",0,0,10
1771908537783130,2493,1404782,0,0,1700000,177,8,1.432,0,480,270,12,177,1142.93,0,"bandwidth",0,0,10
1771908537883146,2543,1429060,0,0,1700000,178,8,1.441,0,480,270,12,178,1178.34,0,"bandwidth",0,0,10
1771908537983154,2625,1465210,0,0,1700000,179,8,1.449,0,480,270,12,179,1224.76,0,"bandwidth",0,0,10
1771908538083196,2665,1490418,0,0,1700000,181,8,1.467,0,480,270,13,181,1236.46,0,"bandwidth",0,0,10
1771908538183213,2702,1513217,0,0,1700000,182,8,1.476,0,480,270,12,182,1237.89,0,"bandwidth",0,0,10
1771908538283222,2725,1519910,0,0,1700000,183,8,1.485,0,480,270,12,183,1237.89,0,"bandwidth",0,0,10
1771908538383251,2731,1524728,0,0,1700000,184,8,1.492,0,480,270,12,184,1237.89,0,"bandwidth",0,0,10
1771908538483264,2735,1528964,0,0,1700000,185,8,1.5,0,480,270,12,185,1237.89,0,"bandwidth",0,0,10
1771908538583291,2740,1535027,0,0,1700000,187,8,1.514,0,480,270,13,187,1237.89,0,"bandwidth",0,0,10
1771908538683343,2751,1541044,0,0,1700000,188,8,1.522,0,480,270,12,188,1237.89,0,"bandwidth",0,0,10
1771908538783347,2768,1545991,0,0,1700000,189,8,1.53,0,480,270,12,189,1237.89,0,"bandwidth",0,0,10
1771908538883362,2771,1549936,0,0,1700000,190,8,1.538,0,480,270,12,190,1237.89,0,"bandwidth",0,0,10
1771908538983391,2790,1555465,0,0,1700000,191,8,1.546,0,480,270,12,191,1237.89,0,"bandwidth",0,0,10
1771908539083417,2795,1561272,0,0,1700000,193,8,1.562,0,480,270,13,193,1237.89,0,"bandwidth",0,0,10
1771908539183429,2802,1565101,0,0,1700000,194,8,1.57,0,480,270,12,194,1237.89,0,"bandwidth",0,0,10
1771908539283468,2809,1568930,0,0,1700000,195,8,1.578,0,480,270,12,195,1237.89,0,"bandwidth",0,0,10
1771908539383493,2816,1572759,0,0,1700000,196,8,1.586,0,480,270,12,196,1237.89,0,"bandwidth",0,0,10
1771908539483489,2820,1576995,0,0,1409746,197,8,1.594,0,480,270,12,197,1237.89,0,"bandwidth",0,0,10
1771908539583514,2846,1588145,0,0,1409746,199,8,1.61,0,480,270,13,199,1237.89,0,"bandwidth",0,0,10
1771908539683541,2869,1594838,0,0,1409746,200,8,1.619,0,480,270,12,200,1237.89,0,"bandwidth",0,0,10
1771908539783568,2878,1602065,0,0,1409746,201,8,1.628,0,480,270,12,201,1237.89,0,"bandwidth",0,0,10
1771908539883592,2901,1608758,0,0,1409746,202,8,1.637,0,480,270,12,202,1237.89,0,"bandwidth",0,0,10
1771908539983612,2910,1615985,0,0,1409746,203,8,1.646,0,480,270,12,203,1237.89,0,"bandwidth",0,0,10
1771908540083658,2922,1626389,0,0,1409746,205,8,1.664,0,480,270,13,205,1237.89,0,"bandwidth",0,0,10
1771908540183673,2933,1629590,0,0,1409746,206,8,1.672,0,480,270,12,206,1237.89,0,"bandwidth",0,0,10
1771908540283695,2940,1633419,0,0,1409746,207,8,1.68,0,480,270,11,207,1237.89,0,"bandwidth",0,0,10
1771908540383709,2944,1637655,0,0,1409746,208,8,1.688,0,480,270,12,208,1237.89,0,"bandwidth",0,0,10
1771908540483727,2957,1641438,0,0,1100866,209,8,1.696,0,480,270,12,209,1237.89,0,"bandwidth",0,0,10
1771908540583750,2967,1651516,0,0,1100866,211,8,1.713,0,480,270,13,211,1237.89,0,"bandwidth",0,0,10
1771908540683772,2978,1657533,0,0,1100866,212,8,1.722,0,480,270,12,212,1237.89,0,"bandwidth",0,0,10
1771908540783794,2984,1663887,0,0,1100866,213,8,1.731,0,480,270,12,213,1237.89,0,"bandwidth",0,0,10
1771908540883837,2996,1670963,0,0,1100866,214,8,1.74,0,480,270,12,214,1237.89,0,"bandwidth",0,0,10
1771908540983863,3003,1674792,0,0,1100866,215,8,1.748,0,480,270,12,215,1237.89,0,"bandwidth",0,0,10
1771908541083899,3008,1679831,0,0,1100866,217,8,1.763,0,480,270,13,217,1237.89,0,"bandwidth",0,0,10
1771908541183944,3011,1683008,0,0,1100866,218,8,1.771,0,480,270,12,218,1237.89,0,"bandwidth",0,0,10
1771908541283963,3022,1686209,0,0,1100866,219,8,1.779,0,480,270,12,219,1237.89,0,"bandwidth",0,0,10
1771908541383985,3039,1691156,0,0,1100866,220,8,1.787,0,480,270,12,220,1237.89,0,"bandwidth",0,0,10
1771908541484018,3068,1707019,0,0,883450,226,8,1.828,0,480,270,11,226,1245.02,0,"bandwidth",0,0,11
