timestamp,frame_num,encode_duration,encode_size
1773458897632089,0,3037,1
1773458897635192,1,2998,1
1773458897638295,2,3028,1
1773458897641412,3,3037,1
1773458897644524,4,3037,1
1773458897647740,5,3130,1
1773458897650871,6,3047,1
1773458897654618,7,3569,18
1773458897672250,8,3580,17
1773458897683215,9,3177,4
1773458897721047,10,3380,4
1773458897762873,11,3390,5
1773458897805540,12,3296,4
1773458897845997,13,3198,2
1773458897891350,14,3851,26
1773458897940957,15,4434,23
1773458897945535,16,4355,23
1773458898013902,17,3421,2
1773458898182680,18,3832,9
1773458898223032,19,3687,4
1773458898265652,20,3422,12
1773458898308151,21,3529,14
1773458898350270,22,3758,9
1773458898391646,23,3627,8
1773458898433237,24,3620,15
1773458898475384,25,3760,17
1773458898517061,26,3718,9
1773458898559257,27,3843,21
1773458898600566,28,3756,17
1773458898643545,29,3804,19
1773458898684179,30,3841,19
1773458898726240,31,3851,20
1773458898767634,32,3840,19
1773458898809284,33,3817,19
1773458898851372,34,3888,11
1773458898893776,35,4084,29
1773458898934664,36,3902,11
1773458898976726,37,3962,22
1773458899018549,38,4101,5
1773458899060016,39,4010,24
1773458899101729,40,4000,23
1773458899143496,41,4060,24
1773458899185090,42,3979,6
1773458899226708,43,3895,5
1773458899268802,44,4028,6
1773458899312322,45,4421,19
1773458899317186,46,4655,19
1773458899349154,47,3479,5
1773458899390938,48,3734,8
1773458899432757,49,3764,8
1773458899474470,50,3502,4
1773458899516568,51,3523,13
1773458899558701,52,3596,4
1773458899600208,53,3592,7
1773458899642273,54,3682,16
1773458899684269,55,3852,21
1773458899725699,56,3803,18
1773458899767450,57,3790,17
1773458899809609,58,4242,16
1773458899851033,59,3833,19
1773458899892587,60,3745,6
1773458899934466,61,3734,9
1773458899976289,62,3837,19
1773458900019798,63,4472,41
1773458900059162,64,3761,16
1773458900142446,65,3689,7
1773458900225696,66,3937,5
1773458900309264,67,3905,4
1773458900392797,68,4304,13
1773458900475657,69,3687,13
1773458900558864,70,3641,7
1773458900642368,71,3637,14
1773458900726186,72,3930,16
1773458900810830,73,3633,13
1773458900892621,74,3631,14
1773458900975886,75,3613,13
1773458901059673,76,3611,14
1773458901142977,77,3697,15
