timestamp,FEC_seq_num,status,recover_seq_num,protect_seq_nums,decode_time,search_time,fec_store_time
1772702681900382,26704,fail_NoLoss,,26699,,,17000
1772702681904521,26705,fail_NoLoss,,26699_26700,,,14000
1772702681909758,26706,fail_NoLoss,,26699_26700_26701,,,16000
1772702681915032,26707,fail_NoLoss,,26699_26700_26701_26702,,,14000
1772702682036477,26713,fail_NoLoss,,26699_26700_26701_26702_26703,,,24000
1772702682037405,26719,fail_NoLoss,,26699_26700_26701_26702_26703_26708,,,16000
1772702682037547,26720,fail_NoLoss,,26699_26700_26701_26702_26703_26708_26709,,,17000
1772702682037686,26721,fail_NoLoss,,26699_26700_26701_26702_26703_26708_26709_26710,,,18000
1772702682037778,26722,fail_NoLoss,,26699_26700_26701_26702_26703_26708_26709_26710_26711,,,19000
1772702682037906,26723,fail_NoLoss,,26699_26700_26701_26702_26703_26708_26709_26710_26711_26712,,,21000
1772702682038004,26724,fail_NoLoss,,26699_26700_26701_26702_26703_26708_26709_26710_26711_26712_26714,,,17000
1772702682038100,26726,fail_NoLoss,,26699_26700_26701_26702_26703_26708_26709_26710_26711_26712_26714_26715_26716,,,18000
1772702682038198,26728,fail_NoLoss,,26699_26700_26701_26702_26703_26708_26709_26710_26711_26712_26714_26715_26716_26717_26718,,,20000
1772702682098040,26732,fail_NoLoss,,26700_26701_26702_26703_26708_26709_26710_26711_26712_26714_26715_26716_26717_26718_26729_26731,,,24000
1772702682135325,26735,fail_NoLoss,,26702_26703_26708_26709_26710_26711_26712_26714_26715_26716_26717_26718_26729_26731_26733,,,29000
1772702682135439,26736,fail_NoLoss,,26703_26708_26709_26710_26711_26712_26714_26715_26716_26717_26718_26729_26731_26733_26734,,,20000
1772702682176912,26739,fail_NoLoss,,26708_26709_26710_26711_26712_26714_26715_26716_26717_26718_26729_26731_26733_26734_26737,,,29000
1772702682177029,26740,fail_NoLoss,,26708_26709_26710_26711_26712_26714_26715_26716_26717_26718_26729_26731_26733_26734_26737_26738,,,21000
1772702682218922,26743,fail_NoLoss,,26710_26711_26712_26714_26715_26716_26717_26718_26729_26731_26733_26734_26737_26738_26741,,,28000
1772702682219050,26744,fail_NoLoss,,26711_26712_26714_26715_26716_26717_26718_26729_26731_26733_26734_26737_26738_26741_26742,,,30000
1772702682260418,26747,fail_NoLoss,,26714_26715_26716_26717_26718_26729_26731_26733_26734_26737_26738_26741_26742_26745,,,27000
1772702682260529,26748,fail_NoLoss,,26715_26716_26717_26718_26729_26731_26733_26734_26737_26738_26741_26742_26745_26746,,,20000
1772702682302072,26751,fail_NoLoss,,26718_26729_26731_26733_26734_26737_26738_26741_26742_26745_26746_26749,,,23000
1772702682302170,26752,fail_NoLoss,,26729_26731_26733_26734_26737_26738_26741_26742_26745_26746_26749_26750,,,17000
1772702682344208,26755,fail_NoLoss,,26729_26731_26733_26734_26737_26738_26741_26742_26745_26746_26749_26750_26753,,,25000
1772702682344310,26756,fail_NoLoss,,26729_26731_26733_26734_26737_26738_26741_26742_26745_26746_26749_26750_26753_26754,,,19000
1772702682385562,26760,fail_NoLoss,,26729_26731_26733_26734_26737_26738_26741_26742_26745_26746_26749_26750_26753_26754_26757_26758,,,27000
1772702682427114,26763,fail_NoLoss,,26731_26733_26734_26737_26738_26741_26742_26745_26746_26749_26750_26753_26754_26757_26758_26761,,,39000
1772702682468975,26767,fail_NoLoss,,26734_26737_26738_26741_26742_26745_26746_26749_26750_26753_26754_26757_26758_26761_26762_26765,,,37000
1772702682469124,26768,fail_NoLoss,,26737_26738_26741_26742_26745_26746_26749_26750_26753_26754_26757_26758_26761_26762_26765_26766,,,31000
1772702682510518,26771,fail_NoLoss,,26738_26741_26742_26745_26746_26749_26750_26753_26754_26757_26758_26761_26762_26765_26766_26769,,,37000
1772702682510683,26772,fail_NoLoss,,26741_26742_26745_26746_26749_26750_26753_26754_26757_26758_26761_26762_26765_26766_26769_26770,,,32000
1772702682552560,26775,fail_NoLoss,,26742_26745_26746_26749_26750_26753_26754_26757_26758_26761_26762_26765_26766_26769_26770_26773,,,37000
1772702682552734,26776,fail_NoLoss,,26745_26746_26749_26750_26753_26754_26757_26758_26761_26762_26765_26766_26769_26770_26773_26774,,,31000
1772702682594178,26780,fail_NoLoss,,26746_26749_26750_26753_26754_26757_26758_26761_26762_26765_26766_26769_26770_26773_26774_26777,,,37000
1772702682594353,26781,fail_NoLoss,,26749_26750_26753_26754_26757_26758_26761_26762_26765_26766_26769_26770_26773_26774_26777_26778,,,32000
1772702682594504,26782,fail_NoLoss,,26749_26750_26753_26754_26757_26758_26761_26762_26765_26766_26769_26770_26773_26774_26777_26778_26779,,,33000
1772702682635712,26785,fail_NoLoss,,26753_26754_26757_26758_26761_26762_26765_26766_26769_26770_26773_26774_26777_26778_26779_26783,,,38000
1772702682635871,26786,fail_NoLoss,,26753_26754_26757_26758_26761_26762_26765_26766_26769_26770_26773_26774_26777_26778_26779_26783_26784,,,33000
1772702682677360,26789,fail_NoLoss,,26757_26758_26761_26762_26765_26766_26769_26770_26773_26774_26777_26778_26779_26783_26784_26787,,,37000
1772702682677505,26790,fail_NoLoss,,26757_26758_26761_26762_26765_26766_26769_26770_26773_26774_26777_26778_26779_26783_26784_26787_26788,,,32000
1772702682719986,26794,fail_NoLoss,,26761_26762_26765_26766_26769_26770_26773_26774_26777_26778_26779_26783_26784_26787_26788_26791,,,36000
1772702682720152,26795,fail_NoLoss,,26761_26762_26765_26766_26769_26770_26773_26774_26777_26778_26779_26783_26784_26787_26788_26791_26792,,,32000
