timestamp,sent_video_rate_bps,sent_nack_rate_bps,sent_fec_rate_bps
1772702681837841,0,0,0
1772702681852389,0,0,0
1772702681983518,497985,0,221977
1772702682035507,535337,0,556950
1772702682084324,485252,0,669319
1772702682235860,370010,0,512212
1772702682286310,371981,0,520636
1772702683235359,773616,69548,216744
1772702684059172,1174312,60144,179552
1772702684186660,1125040,60312,170432
1772702684261434,1092088,69600,171112
1772702684463595,993904,89296,141816
1772702684666334,895104,80368,150816
1772702684767579,831272,71040,131712
1772702685020086,649600,75792,111832
1772702685223973,673608,58096,102176
1772702685257463,649424,67280,111640
1772702686185261,639040,68984,114312
1772702686236277,620744,68984,123840
1772702686490169,611624,33544,113536
1772702687097444,1000176,68176,190296
1772702687551779,1277000,51024,249256
1772702687704006,1237160,51536,221200
1772702687855123,1084344,51536,201816
1772702688006882,905416,43264,172952
1772702688159093,759792,35120,142760
1772702688309940,584320,42760,104360
1772702688410581,544560,42760,85136
1772702688461869,461720,42760,74944
1772702688714832,363984,34088,74328
1772702689761601,555152,37528,209128
1772702690128999,546944,25336,253128
1772702690360788,554664,25336,251928
1772702690380917,553848,17584,242424
1772702690633688,542192,17168,201960
1772702690885963,550136,8280,181928
1772702691240491,533448,15104,173256
1772702691543594,511376,32904,144728
1772702691735312,531960,24624,128736
1772702691797044,529640,24624,119696
1772702692047577,534304,24624,101328
1772702692299718,535312,24080,91792
1772702692535337,559272,23512,91096
1772702692603992,569048,23512,90536
1772702692905820,608704,24744,90632
1772702693158785,636176,24744,91584
1772702693286666,637120,24744,91968
1772702693413467,644384,16656,82944
1772702693665897,653208,17192,84128
1772702693968820,680632,17352,85816
1772702694271965,714776,34472,85336
1772702694510173,741816,43552,84968
1772702694525271,741816,43552,84968
1772702694827476,741104,43760,94312
1772702695079567,723488,42872,84664
1772702695181331,710520,42120,75264
1772702695384296,691848,42120,104304
1772702695637123,659776,50792,86320
1772702695888968,674456,50576,86208
1772702696141333,705912,52432,96272
1772702696383542,698432,45352,86272
1772702696393355,698432,45352,86272
1772702696646265,698648,35968,95144
1772702696899522,703984,26840,94968
1772702697086843,713320,17656,94192
1772702697151347,709872,17656,93424
1772702697456528,718936,23800,91600
1772702697710095,710080,24512,101344
1772702698014741,748800,32440,101784
