timestamp,packetsSent,bytesSent,reportsSent,totalRoundTripTime,roundTripTimeMeasurements
1773377963598348,125,35508,1,0,0
1773377963598348,125,35508,1,0,0
1773377963708713,163,46572,2,0,0
1773377963708713,163,46572,2,0,0
1773377963708713,163,46572,2,0,0
1773377963708713,163,46572,2,0,0
1773377964372270,271,78016,3,0,0
1773377964372270,271,78016,3,0,0
1773377964372270,271,78016,3,0,0
1773377964372270,271,78016,3,0,0
1773377965805930,600,187300,4,0,0
1773377965805930,600,187300,4,0,0
1773377965805930,600,187300,4,0,0
1773377965805930,600,187300,4,0,0
1773377970660516,1337,436327,7,0,0
1773377970660516,1337,436327,7,0,0
1773377977480745,2326,801952,14,0,0
1773377977480745,2326,801952,14,0,0
1773377987096924,5269,1838633,33,0,0
1773377987096924,5269,1838633,33,0,0
1773377992133246,6583,2393649,45,0,0
1773377992133246,6583,2393649,45,0,0
1773377993864712,7342,2676324,52,0,0
1773377993864712,7342,2676324,52,0,0
1773377994427510,7395,2700767,53,0,0
1773377994427510,7395,2700767,53,0,0
1773377994607110,7424,2713078,54,0,0
1773377994607110,7424,2713078,54,0,0
1773377994607110,7424,2713078,54,0,0
1773377994607110,7424,2713078,54,0,0
1773377995078392,7466,2730688,55,0,0
1773377995078392,7466,2730688,55,0,0
1773377995078392,7466,2730688,55,0,0
1773377995078392,7466,2730688,55,0,0
1773377995078392,7466,2730688,55,0,0
1773377995078392,7466,2730688,55,0,0
1773377995078392,7466,2730688,55,0,0
1773377995078392,7466,2730688,55,0,0
1773377995078392,7466,2730688,55,0,0
1773377995078392,7466,2730688,55,0,0
1773377995078392,7466,2730688,55,0,0
1773377995078392,7466,2730688,55,0,0
1773377996219278,7517,2747069,56,0,0
1773377996219278,7517,2747069,56,0,0
1773377996219278,7517,2747069,56,0,0
1773377996219278,7517,2747069,56,0,0
1773377996219278,7517,2747069,56,0,0
1773377996219278,7517,2747069,56,0,0
1773377996219278,7517,2747069,56,0,0
1773377996219278,7517,2747069,56,0,0
1773377996219278,7517,2747069,56,0,0
1773377997189557,7644,2794030,57,0,0
1773377997189557,7644,2794030,57,0,0
1773377997189557,7644,2794030,57,0,0
1773377997189557,7644,2794030,57,0,0
1773377997189557,7644,2794030,57,0,0
1773377997189557,7644,2794030,57,0,0
1773377997189557,7644,2794030,57,0,0
1773377997189557,7644,2794030,57,0,0
1773377997189557,7644,2794030,57,0,0
1773377997189557,7644,2794030,57,0,0
1773377997189557,7644,2794030,57,0,0
1773377998267621,7748,2832500,58,0,0
1773377998267621,7748,2832500,58,0,0
1773377998267621,7748,2832500,58,0,0
1773377998267621,7748,2832500,58,0,0
1773377998267621,7748,2832500,58,0,0
1773377998267621,7748,2832500,58,0,0
1773377998267621,7748,2832500,58,0,0
1773377998267621,7748,2832500,58,0,0
1773377999124000,7983,2907559,59,0,0
1773377999124000,7983,2907559,59,0,0
1773377999124000,7983,2907559,59,0,0
1773377999124000,7983,2907559,59,0,0
1773377999124000,7983,2907559,59,0,0
1773377999124000,7983,2907559,59,0,0
1773377999706417,8128,2965670,60,0,0
1773377999706417,8128,2965670,60,0,0
1773377999706417,8128,2965670,60,0,0
1773377999706417,8128,2965670,60,0,0
1773378000123224,8210,3001570,61,0,0
1773378000123224,8210,3001570,61,0,0
1773378000123224,8210,3001570,61,0,0
1773378000123224,8210,3001570,61,0,0
1773378000123224,8210,3001570,61,0,0
1773378000123224,8210,3001570,61,0,0
1773378000123224,8210,3001570,61,0,0
1773378000827940,8373,3059253,62,0,0
1773378000827940,8373,3059253,62,0,0
1773378000827940,8373,3059253,62,0,0
1773378000827940,8373,3059253,62,0,0
1773378000827940,8373,3059253,62,0,0
1773378000827940,8373,3059253,62,0,0
1773378000827940,8373,3059253,62,0,0
1773378001559185,8523,3106489,63,0,0
1773378001559185,8523,3106489,63,0,0
1773378001559185,8523,3106489,63,0,0
1773378001559185,8523,3106489,63,0,0
1773378001559185,8523,3106489,63,0,0
1773378001559185,8523,3106489,63,0,0
1773378002152876,8725,3174253,64,0,0
1773378002152876,8725,3174253,64,0,0
1773378002152876,8725,3174253,64,0,0
1773378002152876,8725,3174253,64,0,0
1773378002464553,8822,3208120,65,0,0
1773378002464553,8822,3208120,65,0,0
1773378002464553,8822,3208120,65,0,0
1773378003107039,8947,3245023,66,0,0
1773378003107039,8947,3245023,66,0,0
1773378003107039,8947,3245023,66,0,0
1773378003107039,8947,3245023,66,0,0
1773378003539004,9126,3308916,67,0,0
1773378003539004,9126,3308916,67,0,0
1773378003539004,9126,3308916,67,0,0
1773378003816955,9192,3329924,68,0,0
1773378003816955,9192,3329924,68,0,0
1773378003816955,9192,3329924,68,0,0
1773378003816955,9192,3329924,68,0,0
1773378003816955,9192,3329924,68,0,0
1773378004258074,9279,3358321,69,0,0
1773378004258074,9279,3358321,69,0,0
1773378004258074,9279,3358321,69,0,0
1773378004258074,9279,3358321,69,0,0
1773378004258074,9279,3358321,69,0,0
1773378004258074,9279,3358321,69,0,0
1773378004821846,9335,3374623,70,0,0
1773378004821846,9335,3374623,70,0,0
1773378004821846,9335,3374623,70,0,0
1773378004821846,9335,3374623,70,0,0
1773378004821846,9335,3374623,70,0,0
1773378004821846,9335,3374623,70,0,0
1773378004821846,9335,3374623,70,0,0
1773378004821846,9335,3374623,70,0,0
1773378004821846,9335,3374623,70,0,0
1773378004821846,9335,3374623,70,0,0
1773378004821846,9335,3374623,70,0,0
1773378004821846,9335,3374623,70,0,0
