timestamp,EMALR_10_3,EMAEFR_5_2,EMALRR_5_2,I_inv_EMALR_10,EFR_LRR_diff,M_5,EFR,LRR,EMAEFR_5,EMALRR_5,delta_I,M,EMALR_10_3,Reward,cur_baseline_Ireward,I,func_time
1772702682399437,0,0,0,3.91468e+08,0,0.2,0,0,0,0,0,1,0,0,0,7,-6148914691236517206
1772702683399478,0,0,0,0.888672,-0.603725,0.2,0.247059,1,0.123529,0.5,0,1,0,0,0,7,-6148914691236517206
1772702684399487,0,-0.113725,-0.333333,0.911458,-0.393415,0.2,0.435294,1,0.227451,0.666667,0,1,0,0,0,7,-6148914691236517206
1772702685399503,-0.00195312,-0.2,-0.181373,1.05957,-0.0850376,0.2,0.611765,0.72549,0.323529,0.681373,0,1,-0.00195312,0,0,6,-6148914691236517206
1772702686399528,-0.00729167,-0.184706,-0.117647,0.925781,-0.370942,0.2,0.458824,1,0.350588,0.745098,0,1,-0.00729167,0.970337,0.970337,6,2048
1772702689109772,-0.00716146,0.0164706,-0.054902,0.888672,-0.482522,0.6,0.34902,1,0.420392,0.945098,0,3,-0.00716146,0.94662,-0.0237176,7,597
1772702689109772,0.00409226,0.0917647,-0.054902,1.00586,-0.482522,1,0.34902,1,0.440784,0.945098,1,5,0.00409226,0.449884,-0.518082,8,579
1772702690110429,0.00520833,0.133333,0.0956863,1.17188,-0.530039,0.6,0.152941,0.498039,0.384314,0.844706,1,3,0.00520833,0.237133,-0.679025,7,1034
1772702691110454,0.00737847,0.164314,0.301176,0.972222,-0.751592,0.4,0.0705882,0.498039,0.276078,0.799216,-1,2,0.00737847,0.468235,-0.38002,7,1024
1772702692110465,0.00195312,0.0866667,0.200784,0.991211,-0.411053,0.2,0.207843,0.498039,0.225882,0.698824,0,1,0.00195312,0.524753,-0.2855,8,1023
1772702693110481,0.00494792,-0.0760784,0.025098,1.14062,-0.27331,0.2,0.427451,0.74902,0.241569,0.648627,1,1,0.00494792,0.683946,-0.0977571,9,1016
1772702694110493,0.00429687,-0.126667,-0.225882,1.23926,-0.559589,0.2,0.282353,1,0.228235,0.648627,1,1,0.00429687,0.741308,-0.030619,10,1018
1772702695110511,0.011849,-0.0635294,-0.19098,1.33789,-0.333306,0.2,0.4,0.8,0.277647,0.70902,1,1,0.011849,0.711318,-0.057547,9,1030
1772702696110524,0.00911458,-0.0482353,-0.0152941,1.14258,-0.335634,0.2,0.372549,0.74902,0.338039,0.759216,-1,1,0.00911458,0.680783,-0.0823279,8,1018
1772702697110539,0.00885417,0.0737255,-0.014902,0.90625,-0.783147,0.2,0.121569,1,0.320784,0.859608,-1,1,0.00885417,0.692448,-0.0624298,8,1045
1772702698110592,0.0144531,0.138039,-0.0901961,0.835938,-0.783147,0.2,0.121569,1,0.259608,0.909804,0,1,0.0144531,0.791796,0.0431613,9,1027
