timestamp,frame_first_ts,frame_last_ts
1773458898432219,8723183030,8723183654
1773458899003455,8723183248,8723183655
1773458899003685,8723183508,8723184349
1773458899045883,8723184370,8723184394
1773458899057995,8723184406,8723184406
1773458899102406,8723184419,8723184450
1773458899144199,8723184462,8723184492
1773458899159751,8723184501,8723184507
1773458899181611,8723184513,8723184529
1773458899191447,8723184532,8723184539
1773458899200308,8723184542,8723184548
1773458899211618,8723184551,8723184559
1773458899227503,8723184562,8723184575
1773458899253651,8723184581,8723184601
1773458899283605,8723184604,8723184631
1773458899321511,8723184635,8723184669
1773458899339755,8723184673,8723184687
1773458899387917,8723184691,8723184735
1773458899401868,8723184740,8723184750
1773458899468848,8723184754,8723184816
1773458899534926,8723184821,8723184882
1773458899588628,8723184890,8723184936
1773458899691055,8723184945,8723185038
1773458899718906,8723185045,8723185067
1773458899754819,8723185073,8723185102
1773458900000966,8723185110,8723185348
1773458900033430,8723185363,8723185381
1773458900118500,8723185388,8723185466
1773458900420365,8723185478,8723185767
1773458900493482,8723185781,8723185841
1773458900687381,8723185849,8723186035
1773458900762820,8723186044,8723186110
1773458900819554,8723186123,8723186167
1773458900872931,8723186180,8723186221
1773458900917732,8723186228,8723186265
1773458900943492,8723186271,8723186291
1773458900969917,8723186297,8723186317
1773458901011204,8723186321,8723186359
1773458901043066,8723186364,8723186391
1773458901086573,8723186396,8723186434
1773458901107508,8723186439,8723186455
1773458901120245,8723186460,8723186468
1773458901139048,8723186475,8723186487
1773458901185256,8723186493,8723186533
1773458901199051,8723186538,8723186547
1773458901214336,8723186554,8723186562
1773458901245626,8723186567,8723186593
1773458901281033,8723186602,8723186629
1773458901361865,8723186636,8723186709
1773458901367221,8723186715,8723186715
1773458901511966,8723186720,8723186859
1773458901567784,8723186866,8723186915
1773458901587772,8723186926,8723186936
1773458901626750,8723186940,8723186974
1773458901800230,8723186984,8723187147
1773458901837523,8723187154,8723187185
1773458901907954,8723187191,8723187255
1773458901996084,8723187262,8723187343
1773458902057063,8723187351,8723187405
1773458902283732,8723187410,8723187631
1773458902424758,8723187639,8723187772
1773458902465688,8723187778,8723187813
1773458902488630,8723187820,8723187836
1773458902566269,8723187845,8723187914
1773458902633409,8723187920,8723187981
1773458902696386,8723187990,8723188044
1773458902761406,8723188051,8723188109
1773458902831144,8723188116,8723188179
1773458902901912,8723188184,8723188249
1773458904236080,8723188257,8723189583
1773458904390859,8723189591,8723189738
1773458904449288,8723189746,8723189796
1773458904473417,8723189806,8723189821
1773458904546266,8723189829,8723189894
1773458904583462,8723189903,8723189931
1773458904598020,8723189939,8723189946
1773458904608054,8723189952,8723189956
1773458904616009,8723189961,8723189964
1773458904623737,8723189967,8723189972
1773458904629905,8723189974,8723189978
1773458904634998,8723189980,8723189983
1773458904639895,8723189985,8723189988
1773458904643586,8723189990,8723189991
1773458904650360,8723189996,8723189998
1773458904655884,8723190000,8723190004
1773458904666354,8723190007,8723190014
1773458904670865,8723190017,8723190019
1773458904679068,8723190021,8723190027
1773458904684738,8723190030,8723190032
1773458904767378,8723190093,8723190115
1773458904827750,8723190176,8723190176
1773458904967507,8723190306,8723190315
1773458905022126,8723190353,8723190370
1773458905169513,8723190512,8723190517
1773458905186162,8723190520,8723190534
1773458905213782,8723190553,8723190562
1773458905310643,8723190650,8723190658
1773458905374987,8723190716,8723190723
1773458905473420,8723190815,8723190821
1773458905569198,8723190906,8723190917
1773458905643621,8723190974,8723190991
1773458905733262,8723191073,8723191081
1773458905992205,8723191133,8723191340
1773458905995465,8723191343,8723191343
1773458905998758,8723191347,8723191347
1773458906013856,8723191354,8723191362
1773458906035949,8723191365,8723191384
1773458906326183,8723191387,8723191673
1773458906330215,8723191678,8723191678
1773458906339808,8723191682,8723191688
1773458906343906,8723191692,8723191692
1773458906352145,8723191697,8723191700
1773458906361340,8723191703,8723191709
1773458906447560,8723191712,8723191795
1773458906457613,8723191802,8723191805
1773458906466584,8723191807,8723191814
1773458906476124,8723191816,8723191824
1773458906826307,8723191828,8723192173
1773458906835769,8723192179,8723192184
1773458907015432,8723192190,8723192362
1773458907033407,8723192370,8723192381
1773458907054364,8723192391,8723192402
1773458907060669,8723192408,8723192408
1773458907072334,8723192414,8723192420
1773458907082376,8723192424,8723192430
1773458907096312,8723192434,8723192444
1773458907100618,8723192446,8723192448
1773458907104926,8723192451,8723192453
1773458907107490,8723192455,8723192455
1773458907113145,8723192459,8723192461
1773458907117547,8723192463,8723192465
1773458907124429,8723192468,8723192472
1773458907230421,8723192475,8723192577
1773458907258959,8723192582,8723192606
1773458907279322,8723192611,8723192627
1773458907284107,8723192632,8723192632
1773458907315312,8723192639,8723192663
1773458907336789,8723192668,8723192685
1773458907346988,8723192689,8723192695
1773458907355849,8723192698,8723192704
1773458907368265,8723192706,8723192716
1773458907380095,8723192719,8723192728
1773458907390864,8723192732,8723192739
1773458907406885,8723192741,8723192755
1773458907442361,8723192781,8723192790
1773458907447129,8723192793,8723192795
1773458907458485,8723192798,8723192806
1773458907469033,8723192809,8723192817
1773458907497182,8723192843,8723192845
1773458907589677,8723192847,8723192937
1773458907606195,8723192940,8723192954
1773458907613618,8723192959,8723192961
1773458907622905,8723192964,8723192971
1773458907632432,8723192980,8723192980
1773458907634916,8723192983,8723192983
1773458907637390,8723192985,8723192985
1773458907639535,8723192987,8723192987
1773458907670734,8723193012,8723193019
1773458907678961,8723193020,8723193027
1773458907716469,8723193029,8723193064
1773458907725393,8723193066,8723193073
1773458907796888,8723193076,8723193145
1773458907805464,8723193147,8723193153
1773458907817341,8723193156,8723193165
1773458907851613,8723193191,8723193199
1773458907891181,8723193231,8723193239
1773458907926565,8723193272,8723193274
1773458907986592,8723193314,8723193334
1773458908026799,8723193356,8723193374
1773458908059739,8723193398,8723193407
1773458908106324,8723193439,8723193454
1773458908148806,8723193481,8723193497
1773458908184294,8723193526,8723193532
1773458908233895,8723193565,8723193582
1773458908277245,8723193613,8723193625
1773458908318463,8723193649,8723193666
1773458908379549,8723193704,8723193727
1773458908442164,8723193767,8723193790
1773458908476279,8723193808,8723193824
1773458908486562,8723193829,8723193834
1773458908535233,8723193863,8723193883
1773458908553830,8723193898,8723193902
1773458908595274,8723193940,8723193943
1773458908663013,8723193995,8723194011
1773458908700811,8723194033,8723194049
1773458908734414,8723194066,8723194082
1773458908762105,8723194107,8723194110
1773458908836735,8723194168,8723194184
1773458908851497,8723194196,8723194199
1773458908911458,8723194254,8723194259
1773458908955028,8723194292,8723194303
1773458909001626,8723194339,8723194349
1773458909019618,8723194357,8723194367
1773458909068332,8723194399,8723194416
1773458909153994,8723194484,8723194502
1773458909175328,8723194512,8723194523
1773458909238809,8723194565,8723194586
1773458909262244,8723194598,8723194610
1773458909427504,8723194665,8723194775
1773458909457718,8723194780,8723194805
1773458909496435,8723194814,8723194843
1773458909552324,8723194873,8723194900
1773458909774876,8723195115,8723195123
1773458909779727,8723195128,8723195128
1773458909864219,8723195131,8723195212
1773458909870444,8723195215,8723195218
1773458909892099,8723195224,8723195240
1773458909928723,8723195243,8723195276
1773458910029848,8723195280,8723195378
1773458910057439,8723195381,8723195405
1773458910123363,8723195409,8723195471
1773458910160807,8723195475,8723195509
1773458910196994,8723195512,8723195544
1773458910201911,8723195550,8723195550
1773458910215159,8723195555,8723195563
1773458910220013,8723195568,8723195568
1773458910263716,8723195600,8723195611
1773458910335251,8723195641,8723195683
1773458910437105,8723195742,8723195785
1773458910456547,8723195788,8723195804
1773458910513809,8723195808,8723195861
1773458910628321,8723195867,8723195975
1773458910808207,8723195981,8723196156
1773458910815385,8723196163,8723196163
1773458910828880,8723196168,8723196177
1773458910877211,8723196182,8723196225
1773458910912400,8723196230,8723196260
1773458910993075,8723196265,8723196341
1773458911003044,8723196344,8723196351
1773458911037214,8723196356,8723196385
1773458911044237,8723196389,8723196392
1773458911085554,8723196396,8723196433
1773458911123502,8723196439,8723196471
1773458911288469,8723196477,8723196636
1773458911488895,8723196643,8723196836
1773458911501481,8723196843,8723196849
1773458911536441,8723196857,8723196884
1773458911549755,8723196892,8723196898
1773458911557237,8723196905,8723196905
1773458911582964,8723196910,8723196930
1773458911682831,8723196935,8723197030
1773458911699589,8723197034,8723197047
1773458911716084,8723197051,8723197064
1773458911736880,8723197070,8723197084
